Metric,Value
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.19888
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.19956
design_powergrid__drop__worst__net:VPWR__corner:nom_typ_1p20V_25C,0.00112025
design_powergrid__voltage__worst__net:VGND__corner:nom_typ_1p20V_25C,0.000848509
design_powergrid__drop__average__net:VGND__corner:nom_typ_1p20V_25C,0.000424701
design_powergrid__drop__worst__net:VGND__corner:nom_typ_1p20V_25C,0.000848509
design_powergrid__voltage__worst,0.000848509
design_powergrid__voltage__worst__net:VPWR,1.19888
design_powergrid__drop__worst,0.00112025
design_powergrid__drop__worst__net:VPWR,0.00112025
design_powergrid__voltage__worst__net:VGND,0.000848509
design_powergrid__drop__worst__net:VGND,0.000848509
ir__voltage__worst,1.1999999999999999555910790149937383830547332763671875
ir__drop__avg,0.0004360000000000000268569888550729274356854148209095001220703125
ir__drop__worst,0.0011199999999999999018840401987517907400615513324737548828125
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
